mol,mseq,S
O=C1N(c2ccccc2)c2ncccc2C(O)=C1N1CCCC1,334,-5.5722089
O=C(OC1CC(C)(C)N(C)C(C)C1)C(O)c1ccccc1,171,-5.571846
S(=O)(=O)(N)c1ccc(-n2c(-c3ccc(F)cc3)cc(C(F)(F)F)n2)cc1,552,-5.5717225
O=C(O)C[C@@]1O[C@@](C)C=2C(=O)c3c(O)cccc3C(=O)C=2C1,227,-5.570828
O(C)c1c(OC)cc(CC(NC)CC=C)cc1OC,81,-5.5705752
ClCCNC[C@@](O)[C@@](O)[C@](O)[C@](O)CNCCCl,176,-5.5697918
Clc1c2c(/C=C/C(=O)Nc3ccccc3)c(C(=O)O)[nH]c2cc(Cl)c1,194,-5.5688891
Clc1c(O)c(Cc2c(O)c([N+](=O)[O-])cc(Cl)c2)cc([N+](=O)[O-])c1,300,-5.5676708
O[C@]1(C)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)[C@](Cc5nonc5C4)CC3)CC2)CC1,467,-5.5658193
Clc1cc(C(C(O)CN(C)C)c2ccccc2)ccc1,668,-5.565218
O=C(NNC(C)c1ccccc1)c1ccccc1,271,-5.5647111
Ic1c(N(C(=O)CCC(=O)O)CC)c(I)cc(I)c1NC,95,-5.5637207
S(=O)(=O)(C)N1[C@@]2[C@@](CN3[C@](c4c(cc(OC)cc4)CC3)C2)CCC1,412,-5.5636721
Fc1ccc(C(C)n2c(C(=O)OCC)cnc2)cc1,91,-5.5628805
O[C@@](CN[C@@](CCc1ccc(O)cc1)C)c1ccc(O)cc1,86,-5.5620456
S(c1c(N)cc(C#N)cc1)c1c(CN(C)C)cccc1,236,-5.5616927
Clc1c2C(n3cncc3)c3c(cccc3)CCc2cc(Cl)c1,157,-5.5614672
O=C(OCCN(CC)CC)c1c(O)cccc1,247,-5.5608807
C(c1ccncc1)C1(Cc2ccncc2)c2c(nccc2)-c2ncccc12,437,-5.5602384
Clc1c2c3N(C(=S)Nc3cc1)C[C@](C)N(C/C=C(\C)/C)C2,404,-5.5600963
O=C1C(C)(C)c2c(N1)cc1[nH]c(-c3ccncc3)nc1c2,191,-5.5599627
O=C(c1c(C(C)C)[nH]c2c1cccc2)c1cnccc1,6,-5.5581932
P(=O)(OP(=O)(O)O)(OP(=O)(O)CO[C@](CO)CN1C(=O)N=C(N)C=C1)O,687,-5.5576143
O=C1N([C@@]2O[C@](CO)[C@@](N=[N+]=[N-])C2)C=CC(=O)N1,322,-5.557519
O=C1C=C2C(=C3C=C[C@]4(CC)[C@](O)(C#C)CC[C@]4[C@@]3CC2)CC1,3,-5.5571909
CN1CCN(C=2n3c(Sc4c(N=2)cccc4)ncc3)CC1,164,-5.5571332
O=C(OCCCCC)c1ccc(N(C)C)cc1,312,-5.5567551
Clc1cc2/C(=C\CCN(C)C)/c3n(ccc3)CCc2cc1,612,-5.5555196
O=C1N(N(c2ccccc2)C(O)=C1CCCC)c1ccccc1,71,-5.5549154
P(=O)(Nc1nc(N(C)C)nc2ncn(C)c12)(N1CC1)N1CC1,249,-5.5539732
S(c1c(N)cc(C#N)cc1)c1c(CN(C)C)cccc1,236,-5.5526729
O=C(Nc1c(O)ccc([As]2SC(CO)CS2)c1)C,202,-5.5509243
Clc1c2c3N(C(=S)Nc3cc1)C[C@](C)N(C/C=C(\C)/C)C2,404,-5.5498939
S(=O)(=O)(N(CC)CC)N[C@@]1CN(C)[C@]2[C@@](c3c4c([nH]cc4C2)ccc3)C1,213,-5.5498772
Clc1cc2C(C)c3c(OC(C(=O)OCC)Oc2cc1)ccc(Cl)c3,90,-5.5497365
O=C(NNC(=O)C)CC(O)(c1ccccc1)c1ccccc1,125,-5.5493269
C(\c1ccccc1)(/c1ccccc1)=C\1/CN(CC)CC/1,551,-5.5468879
P(=O)(OP(=O)(O)O)(OP(=O)(O)CO[C@](CO)CN1C(=O)N=C(N)C=C1)O,687,-5.5463572
Clc1ccc(NC(=O)NC(=O)c2c(F)cccc2N(C)C)cc1,323,-5.5454197
Clc1ccc(OC(=O)C(Oc2ccc(Cl)cc2)(C)C)cc1,61,-5.5450325
O=C1C=C2[C@@]([C@@]3[C@]([C@]4[C@@](C)([C@](O)(C=C)CC4)CC3)CC2)CC1,367,-5.5445323
Clc1cc(C(C(O)CN(C)C)c2ccccc2)ccc1,668,-5.5439048
O=S1(=O)N(c2cc3c(c(C#N)ncc3)cc2)C[C@](C)CN1,59,-5.5430665
Clc1cc2C(c3ccccc3)=NC(=O)N(CC(F)(F)F)c2cc1,141,-5.5426426
O(CC)c1ccc(/N=N/c2c(N)cc(N)cc2)cc1,109,-5.5424829
S(C)c1cc2N(CC(CN(C)C)C)c3c(Sc2cc1)cccc3,166,-5.5406246
Fc1c(C)c(F)c2OC(c3cc(F)c(N)cc3)=CC(=O)c2c1N,571,-5.5393033
O=C(O)c1ccc(/C=C(\C)/c2sc(C(C)C)cc2)cc1,16,-5.5392995
Clc1c(-c2ccc(C(=O)CC(C(=O)O)=C)cc2)cccc1,515,-5.5370393
O(CC(O)COCCCC)CCCC,549,-5.537004
O(C)C1=Nc2n(cc(-c3nc(C)on3)n2)C2=C1CCCC2,287,-5.5368118
O=C1C=C2C(=C3C=C[C@]4(CC)[C@](O)(C#C)CC[C@]4[C@@]3CC2)CC1,3,-5.535058
Clc1cc2C(c3c(F)cccc3)=NCCN(CC(F)(F)F)c2cc1,591,-5.5345225
Clc1c(Cl)cc(Cl)c(OP(=O)(OC)OC)n1,523,-5.5340242
O(CC(O)CNC(C)C)c1c(C2CCCCC2)cccc1,518,-5.5335093
O=C(OCCNCC(C)C)c1ccc(N)cc1,100,-5.5330014
ClC(C(=O)O)c1cc(Cl)c(C2CCCCC2)cc1,640,-5.5296297
OC(C(N(C/C=C/c1ccccc1)C)C)c1ccccc1,177,-5.5289836
O=C1C=C2[C@@](C)([C@@]3[C@@]([C@@](C)C2)[C@]2[C@@](C)([C@](O)(C)CC2)CC3)CC1,485,-5.5288353
O=C(OCC[N+](CC)(CC)C)C1[N+](C)(C)C(C)CCC1,664,-5.5282483
Clc1cc(C(C(O)CN(C)C)c2ccccc2)ccc1,668,-5.5275302
O=C1N(CC2CC2)C(=O)c2[nH]c(N)nc2N1CC1CC1,267,-5.5270162
S(=O)(=O)(C)N1[C@@]2[C@@](CN3[C@](c4c(cc(OC)cc4)CC3)C2)CCC1,412,-5.5260773
O(C1c2c(cccc2)C=Cc2c1cccc2)C1C[C@@]2N(C)[C@](C1)CC2,405,-5.5254321
Clc1cc2nccc(NC(CCCNCCO)C)c2cc1,298,-5.5248017
S(C)c1cc2N(CC(CN(C)C)C)c3c(Sc2cc1)cccc3,166,-5.5245309
O=C1NC(N)=Nc2n(/C=C/3\C(CO)(CO)C\3)cnc12,541,-5.5232954
Clc1cc2C(c3ccccc3)=NC(=O)N(CC(F)(F)F)c2cc1,141,-5.522594
S(=O)(=O)(NC(=O)C)c1c(S(=O)(=O)c2ccc(N)cc2)ccc(N)c1,294,-5.5224547
Brc1c(S)c(C(=O)Nc2ccc(Br)cc2)cc(Br)c1,154,-5.5218873
N(CCC=C1c2c(N(C)Cc3c1cccc3)cccc2)(C)C,175,-5.5205145
S(=O)(=O)(N(CC)CC)N[C@@]1CN(C)[C@]2[C@@](c3c4c([nH]cc4C2)ccc3)C1,213,-5.5193849
O=C(Oc1ccc(O)cc1)[C@]1NC(=O)CC1,51,-5.5190959
P(=O)(OP(=O)(O)O)(OP(=O)(O)CO[C@](CO)CN1C(=O)N=C(N)C=C1)O,687,-5.5188365
ClC(C(=O)O)c1cc(Cl)c(C2CCCCC2)cc1,640,-5.5184698
S(=O)(=O)(Nc1c(C)c(C)on1)c1ccc(N)cc1,173,-5.5180688
O=C(O)C[C@@]1O[C@@](C)C=2C(=O)c3c(O)cccc3C(=O)C=2C1,227,-5.5180287
O=C(OC1C[C@@]2N(C)[C@](C1)CC2)[C@@](CO)(C)c1ccccc1,346,-5.5174708
O=C(NNC(=O)C)CC(O)(c1ccccc1)c1ccccc1,125,-5.5168419
Clc1ccc(-c2nn3c(n2)-c2c(cccc2)C=C3)cc1,562,-5.5167546
ClC(C(=O)O)c1cc(Cl)c(C2CCCCC2)cc1,640,-5.5166388
Clc1c(Cl)cccc1[C@@]1C(C(=O)OC(C)C)=C(C)NC(C)=C1c1ocnn1,628,-5.5159473
O=S1(=O)N(c2cc3c(c(C#N)ncc3)cc2)C[C@](C)CN1,59,-5.5156522
OC(C(N(C/C=C/c1ccccc1)C)C)c1ccccc1,177,-5.5153933
O=C1C(CC)(C(=O)NC(=O)N1)C1=CCCCCC1,144,-5.5152969
Clc1ccc(CC2CN3C(CC2)CCCC3)cc1,406,-5.5145783
O=C(O)C(C)c1c2c(c(C3CCCCC3)cc1)cccc2,41,-5.5144606
Clc1cc(c(OC)cc1)C=1N(CC(=O)N)C(=S)NC(=O)C=1,660,-5.5135598
O=C(N(CC)CC)N[C@@]1CN(C)[C@]2[C@@](c3c4c([nH]cc4C2)ccc3)C1,643,-5.5133739
Clc1cc(c(OC)cc1)C=1N(CC(=O)N)C(=S)NC(=O)C=1,660,-5.5133495
O(C1c2c(cccc2)C=Cc2c1cccc2)C1C[C@@]2N(C)[C@](C1)CC2,405,-5.5132394
O=C1[C@](O)(CC)C2=C(C(=O)N3C(c4nc5c(cc4C3)cccc5)=C2)CO1,70,-5.5131826
O=C(OC1CC(C)(C)CC(C)C1)[C@]1NC(=O)CC1,613,-5.5129848
N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2)cc1,328,-5.5128922
O(C(c1c(C(C)(C)C)cccc1)c1ccccc1)CCN(C)C,530,-5.5121636
O=C(O)C(C)c1c2c(c(C3CCCCC3)cc1)cccc2,41,-5.5115204
O=C(NCc1ccncc1)c1cc(C)cc(C)c1,588,-5.5109057
S(=O)(=O)(N)c1sc2S(=O)(=O)CC[C@](NCC(C)C)c2c1,472,-5.5106072
O=C(OC1CC(C)(C)CC(C)C1)[C@]1NC(=O)CC1,613,-5.5105824
Clc1c(C2=NCc3n(c(C)nc3)-c3c2cc(Cl)cc3)cccc1,156,-5.5091901
OC(C(N(C/C=C/c1ccccc1)C)C)c1ccccc1,177,-5.5086751
O(CC)c1ccc(/N=N/c2c(N)cc(N)cc2)cc1,109,-5.5084667
O=C(N)C=1C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](O)[C@]3C[C@]2[C@](N(C)C)C=1O,661,-5.5073018
O=C1C=C2[C@@]([C@@]3[C@]([C@]4[C@@](C)([C@@](O)[C@@](CC)C4)CC3)CC2)CC1,528,-5.5070486
O=C(NNC(=O)C)CC(O)(c1ccccc1)c1ccccc1,125,-5.5053625
O=C1[C@](O)(CC)C2=C(C(=O)N3C(c4nc5c(cc4C3)cccc5)=C2)CO1,70,-5.5038509
O=C(Oc1cc(C(O)CNC)ccc1)C(C)(C)C,663,-5.5026922
SCCC(=O)N1[C@@](c2c(O)cccc2)SC[C@]1C(=O)O,623,-5.5011506
Clc1cc2/C(=C\CCN(C)C)/c3n(ccc3)CCc2cc1,612,-5.5009708
O(C)c1c(C)c(CC2=NCCN2)c(OC)cc1C,502,-5.4992237
Ic1ccc([C@@](C)n2c(C(=O)OC)cnc2)cc1,40,-5.4989405
O(C)c1cc2c(CCC[C@]3[C@@](C=C)CNCC3)ccnc2cc1,167,-5.4980855
O=C1[C@](O)(CC)C2=C(C(=O)N3C(c4nc5c(cc4C3)cccc5)=C2)CO1,70,-5.4964852
OC(C(C(C)C)c1ccccc1)CCN1CCCCC1,439,-5.4954977
O[C@@](CN[C@@](CCc1ccc(O)cc1)C)c1ccc(O)cc1,86,-5.4952302
O=C(OC1C(C2C(C)O2)OC(=O)C=C1)C,680,-5.4931417
Clc1ccc(NC(=O)NC(=O)c2c(F)cccc2N(C)C)cc1,323,-5.4911919
Clc1cc2C(c3c(F)cccc3)=NCCN(CC(F)(F)F)c2cc1,591,-5.4902415
O(C1c2c(cccc2)C=Cc2c1cccc2)C1C[C@@]2N(C)[C@](C1)CC2,405,-5.4901195
O=C(N/N=C/c1c(O)cccc1)c1ccncc1,677,-5.4884591
O=C1C(C)(C)c2c(N1)cc1[nH]c(-c3ccncc3)nc1c2,191,-5.4883518
O(C)C1=Nc2n(cc(-c3nc(C)on3)n2)C2=C1CCCC2,287,-5.4869828
Clc1c(O)c(Cc2c(O)c([N+](=O)[O-])cc(Cl)c2)cc([N+](=O)[O-])c1,300,-5.4858584
O=C1C=C2C(=C3C=C[C@]4(CC)[C@](O)(C#C)CC[C@]4[C@@]3CC2)CC1,3,-5.4857774
C(\c1ccccc1)(/c1ccccc1)=C\1/CN(CC)CC/1,551,-5.485127
S(=O)(=O)(N)c1sc2S(=O)(=O)CC[C@](NCC(C)C)c2c1,472,-5.4849334
O=C(NNC(=O)C)CC(O)(c1ccccc1)c1ccccc1,125,-5.4844093
O=C(OC(C(CC(NC)C)(c1ccccc1)c1ccccc1)CC)C,150,-5.4839754
O=C(O)C=1N2C(=O)/C(=C/c3nc4n(c3)CCOC4)/[C@]2SC=1,364,-5.4836779
O[C@]1(C)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)[C@](Cc5nonc5C4)CC3)CC2)CC1,467,-5.4834485
O=C1N([C@@]2[C@@]3[C@](CO)([C@@](O)C2)C3)C=C(C)C(=O)N1,129,-5.4816933
Fc1ccc(C(C)n2c(C(=O)OCC)cnc2)cc1,91,-5.4814706
O=C(N)/C=C/c1cc(OC)c(OC)c(OC)c1,281,-5.4814529
O=C(/C=C/1\c2c(cccc2)CCc2c\1cccc2)CN(C)C,446,-5.4812808
OCCN1C(C(c2ccccc2)c2ccccc2)CCCC1,355,-5.4808965
O=C(O)C[C@@]1O[C@@](C)C=2C(=O)c3c(O)cccc3C(=O)C=2C1,227,-5.479569
O(C)c1c(C[C@](N)CC)cc(OC)c(C)c1,305,-5.4792552
Ic1c(N(C(=O)CCC(=O)O)CC)c(I)cc(I)c1NC,95,-5.4792366
O=[N+]([O-])c1oc(/C=N/N2C(=O)OC(C)C2)cc1,646,-5.4790411
O=C(OC1C(C2C(C)O2)OC(=O)C=C1)C,680,-5.4790001
O=C(OCCNCC(C)C)c1ccc(N)cc1,100,-5.4750657
Clc1cc(O)c(C(=O)NCCCC(=O)O)cc1,544,-5.4749584
O=C(O)c1ccc(NC2[C@](O)[C@@](O)[C@](O)CO2)cc1,448,-5.4749331
O=C1NC(N)=Nc2n(/C=C/3\C(CO)(CO)C\3)cnc12,541,-5.4736981
S(=O)(=O)(C)N1[C@@]2[C@@](CN3[C@](c4c(cc(OC)cc4)CC3)C2)CCC1,412,-5.4727988
O=C1C(C)(C)c2c(N1)cc1[nH]c(-c3ccncc3)nc1c2,191,-5.4724951
ClC=1C(=O)CC[C@@]2(C)C=1CC[C@]1[C@]3[C@@](C)([C@@](O)CC3)CC[C@]21,429,-5.4721055
S(=O)(=O)(C)N1[C@@]2[C@@](CN3[C@](c4c(cc(OC)cc4)CC3)C2)CCC1,412,-5.4719105
N(CCC=C1c2c(N(C)Cc3c1cccc3)cccc2)(C)C,175,-5.4714637
O(CC(O)CNC(C)(C)C)CC1Oc2c(OC1)cccc2,533,-5.4704823
O=C(Nc1ccccc1)CC(N(CC)CC)C,133,-5.4696503
Clc1nnc(SCC(=O)N(CC)CC)cc1,7,-5.4691319
O=C1NC(N)=Nc2n(/C=C/3\C(CO)(CO)C\3)cnc12,541,-5.4688225
Fc1ccc(C(C)n2c(C(=O)OCC)cnc2)cc1,91,-5.4679422
O(C)c1c2C(=O)c3c(N(C)c2c2c(OC(C)(C)C=C2)c1)cccc3,641,-5.4673824
C(c1c(N2CCN(C)CC2)cccc1)c1ccccc1,111,-5.4666214
N#C/C=C/1\c2c(C(N3CCN(C)CC3)=Nc3c\1csc3)csc2,632,-5.4663811
O=C(Oc1cc(C(O)CNC)ccc1)C(C)(C)C,663,-5.4660668
O=C(OCCN(CC)CC)c1c(O)cccc1,247,-5.4633913
O[C@@]1[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)[C@](C[C@@]5S[C@@]5C4)CC3)CC2)CC1,524,-5.4633317
O=C(NCc1ccncc1)c1cc(C)cc(C)c1,588,-5.4629488
O=C1N(C)C(=O)c2n(CC3SCCS3)cnc2N1C,330,-5.461328
O=C1C(C)(C)c2c(N1)cc1[nH]c(-c3ccncc3)nc1c2,191,-5.4606071
N(c1n(Cc2oc(C)cc2)c2ncccc2n1)C1CCNCC1,647,-5.4600163
C(C)(C)N1[C@]2[C@](N(CC)CC1)c1c(C)c3c(n1CC2)cccc3,671,-5.4584041
Clc1cc2/C(=C\CCN(C)C)/c3n(ccc3)CCc2cc1,612,-5.4565105
Clc1ccc(-c2nn3c(n2)-c2c(cccc2)C=C3)cc1,562,-5.4563398
Clc1cc2C(c3c(F)cccc3)=NCCN(CC(F)(F)F)c2cc1,591,-5.4556885
FC(F)(F)c1cc(C(F)(F)F)cc(-c2nn(/C=C(/C(=O)N)\c3cncnc3)cn2)c1,417,-5.4540658
O=C1N(CC2CC2)C(=O)c2[nH]c(N)nc2N1CC1CC1,267,-5.4536576
O=[N+]([O-])c1oc(/C=N/N2C(=O)OC(C)C2)cc1,646,-5.4519191
O(CC(O)CNC(C)C)c1c(C2CCCCC2)cccc1,518,-5.4513493
O=C(O)C=1N2C(=O)/C(=C/c3nc4n(c3)CCOC4)/[C@]2SC=1,364,-5.4509511
O(C1c2c(cccc2)C=Cc2c1cccc2)C1C[C@@]2N(C)[C@](C1)CC2,405,-5.4508343
Fc1c(O)ccc(C(C(C)c2cc(F)c(O)cc2)CC)c1,681,-5.4494753
O=C1C(CC)(C(=O)NC(=O)N1)C1=CCCCCC1,144,-5.4493318
Clc1c(Cl)cccc1[C@@]1C(C(=O)OC(C)C)=C(C)NC(C)=C1c1ocnn1,628,-5.4490156
O=C(O)C=1Oc2c(CCC)c3c(c(O)c2C(=O)C=1)CCCC3,65,-5.4481177
P(=O)(OCC1(O)[C@@](O)[C@](O)[C@@](COP(=O)(O)O)O1)(O)O,615,-5.4479108
O=C(OCCNCC(C)C)c1ccc(N)cc1,100,-5.447783
O=[N+]([O-])c1oc(/C=N/N2C(=O)OC(C)C2)cc1,646,-5.4474201
O=C(O)C(C)c1ccc(C2CCCCC2)cc1,291,-5.4472451
O(CC)c1ccc(/N=N/c2c(N)cc(N)cc2)cc1,109,-5.4465642
S(C(=O)C)[C@@]1[C@@]2(C)C(=CC(=O)C1)C[C@@](SC(=O)C)[C@@]1[C@@]2CC[C@]2(C)[C@](O)(C)CC[C@@]12,529,-5.4449587
O=C(/C=C/1\c2c(cccc2)CCc2c\1cccc2)CN(C)C,446,-5.4446959
O(C)c1c2C(=O)c3c(N(C)c2c2c(OC(C)(C)C=C2)c1)cccc3,641,-5.4445119
S(=O)(=O)(C)N1[C@@]2[C@@](CN3[C@](c4c(cc(OC)cc4)CC3)C2)CCC1,412,-5.444078
S(=O)(=O)(Nc1c(C)c(C)on1)c1ccc(N)cc1,173,-5.443656
S(Sc1[n+]([O-])cccc1)c1[n+]([O-])cccc1,694,-5.4431949
O=C(NC1CCCCC1)CN1CCNCC1,692,-5.4420691
O=C(Nc1c(O)ccc([As]2SC(CO)CS2)c1)C,202,-5.4415178
C(c1c2c(ccc1)CCCC2)C1=NCCN1,98,-5.4396663
Clc1c(C2=NCC(NOCC=C)=Nc3c2cc(Cl)cc3)cccc1,229,-5.4390988
S=C(NC)C1(c2ncccc2)SCCC1,609,-5.4384503
OCCN1C(C(c2ccccc2)c2ccccc2)CCCC1,355,-5.4372606
Clc1cc2C(c3ccccc3)=NC(=O)N(CC(F)(F)F)c2cc1,141,-5.4351163
S(c1c(N)cc(C#N)cc1)c1c(CN(C)C)cccc1,236,-5.4325166
C(c1c(N2CCN(C)CC2)cccc1)c1ccccc1,111,-5.4322219
S(/C=C(/n1cncc1)\c1c(OCCCCC)cccc1)C,55,-5.431417
P(=O)(OC1[C@](OP(=O)(O)O)[C@@](O)C(O)[C@@](O)[C@]1OP(=O)(O)O)(O)O,345,-5.4310164
O=C(O)CCCCCCCCC=C,672,-5.4300394
N(CCC(c1ccccc1)C1CCCCC1)(C)C,333,-5.4285522
O=C(O)C(C)c1ccc(C2CCCCC2)cc1,291,-5.4283981
Clc1ccc(CC2CN3C(CC2)CCCC3)cc1,406,-5.4253259
O(C)[C@@]1[C@@]2c3c(cc(O)cc3)CC[C@]2[C@]2[C@@](C)([C@](O)(C#C)CC2)C1,558,-5.4246964
O=C(Oc1ccc(O)cc1)[C@]1NC(=O)CC1,51,-5.4244328
O(C)c1c2O[C@]3C(C)(C)[C@]4Oc5c(OC)cccc5C[C@]4C(=O)[C@]3Cc2ccc1,117,-5.4231124
O=C(OCCC(C)C)/C=C/c1ccc(OC)cc1,464,-5.4226727
O(C)c1c2O[C@]3C(C)(C)[C@]4Oc5c(OC)cccc5C[C@]4C(=O)[C@]3Cc2ccc1,117,-5.4211302
O=C(Nc1c(O)ccc([As]2SC(CO)CS2)c1)C,202,-5.4185438
Clc1cc2C(C)c3c(OC(C(=O)OCC)Oc2cc1)ccc(Cl)c3,90,-5.4180074
O=C1C(CC)(C(=O)NC(=O)N1)C1=CCCCCC1,144,-5.4164839
O=C(Nc1ccc(OC(C)(C)C)cc1)C,122,-5.4155726
O=C1c2c(O[C@](c3cc(O)c(O)cc3)C1)cc(O)cc2,648,-5.4146891
Clc1c(C2CCCCC2)cc2OC(=O)Cc2c1,54,-5.4126406
O(C)c1c(OC)cc2c(N3C(=O)C[C@@]4OCC=C5[C@]6[C@@]4[C@]3[C@]32[C@@](N(C5)CC3)C6)c1,181,-5.4120197
O(C)c1c(OC)cc2c([C@@](c3ccccc3)CN(C)CC2)c1,142,-5.4119778
Clc1c(C2=NCc3n(c(C)nc3)-c3c2cc(Cl)cc3)cccc1,156,-5.4119234
CN1c2c(cccc2)C2=C(c3c1cccc3)CCN(C)CC2,557,-5.4117713
N(c1n(Cc2oc(C)cc2)c2ncccc2n1)C1CCNCC1,647,-5.4111524
Clc1c2c(/C=C/C(=O)Nc3ccccc3)c(C(=O)O)[nH]c2cc(Cl)c1,194,-5.4094687
O=C1C=C2[C@@]([C@@]3[C@]([C@]4[C@@](C)([C@](O)(C=C)CC4)CC3)CC2)CC1,367,-5.4081521
Fc1c(C)c(F)c2OC(c3cc(F)c(N)cc3)=CC(=O)c2c1N,571,-5.4079504
O=C(N)/C=C/c1cc(OC)c(OC)c(OC)c1,281,-5.4038668
Clc1c(C2=NCC(NOCC=C)=Nc3c2cc(Cl)cc3)cccc1,229,-5.4037695
O=[N+]([O-])c1oc(/C=N/N2C(=O)OC(C)C2)cc1,646,-5.4035358
Clc1c(Cl)cc(Cl)cc1-c1c(N)nc(N2CCN(C)CC2)nc1,199,-5.4032569
O=C(OCCC(C)C)/C=C/c1ccc(OC)cc1,464,-5.4027739
O=C1c2c(O[C@](c3cc(O)c(O)cc3)C1)cc(O)cc2,648,-5.4004946
C(\c1ccccc1)(/c1ccccc1)=C\1/CN(CC)CC/1,551,-5.4003072
C(C)(C)N1[C@]2[C@](N(CC)CC1)c1c(C)c3c(n1CC2)cccc3,671,-5.399981
O=C(N)/C=C/c1cc(OC)c(OC)c(OC)c1,281,-5.3995886
O=C(OC1C[C@@]2N(C)[C@](C1)CC2)[C@@](CO)(C)c1ccccc1,346,-5.3989749
P(=O)(OCC1(O)[C@@](O)[C@](O)[C@@](COP(=O)(O)O)O1)(O)O,615,-5.3980618
O(CC(O)CNC(C)(C)C)CC1Oc2c(OC1)cccc2,533,-5.3971677
O(C)[C@@]1[C@@]2c3c(cc(O)cc3)CC[C@]2[C@]2[C@@](C)([C@](O)(C#C)CC2)C1,558,-5.3962474
C(\c1ccccc1)(/c1ccccc1)=C\1/CN(CC)CC/1,551,-5.3958416
O=C(NC1CCCCC1)CN1CCNCC1,692,-5.3956432
OC1(CC)CC2N(CC1)CCc1c2cc(C)cc1,413,-5.3955326
O=C(N(CC)CC)N[C@@]1CN(C)[C@]2[C@@](c3c4c([nH]cc4C2)ccc3)C1,643,-5.3945193
O=C(Nc1ccccc1)CC(N(CC)CC)C,133,-5.3942389
O=C(N)/C=C/c1cc(OC)c(OC)c(OC)c1,281,-5.3929133
[O-][N+](CC/C=C/1\c2c(cccc2)CCc2c\1cccc2)(C)C,87,-5.3912525
OCC1OC(C(C)C)(C(C)C)OC1,478,-5.3910947
O=S1(=O)N(c2cc3c(c(C#N)ncc3)cc2)C[C@](C)CN1,59,-5.3905787
O=C(OC1C[C@@]2N(C)[C@](C1)CC2)[C@@](CO)(C)c1ccccc1,346,-5.3899369
O(C(CN(C)C)(CC)C)C(=O)c1ccccc1,424,-5.3891697
Clc1cc2C(c3ccccc3)=NC(=O)N(CC(F)(F)F)c2cc1,141,-5.3889027
O[C@]1(C)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)[C@](Cc5nonc5C4)CC3)CC2)CC1,467,-5.3875737
O(C(CN(C)C)(CC)C)C(=O)c1ccccc1,424,-5.385498
O=C(c1c(C(C)C)[nH]c2c1cccc2)c1cnccc1,6,-5.385396
O=C(OC1CC(C)(C)CC(C)C1)[C@]1NC(=O)CC1,613,-5.3833752
O=C1C=C2C(=C3C=C[C@]4(CC)[C@](O)(C#C)CC[C@]4[C@@]3CC2)CC1,3,-5.3830838
O=C(N)/C=C/c1cc(OC)c(OC)c(OC)c1,281,-5.3830614
O=C(Nc1ccccc1)CC(N(CC)CC)C,133,-5.3817167
O=C1C=C2[C@@]([C@@]3[C@]([C@]4[C@@](C)([C@](O)(C=C)CC4)CC3)CC2)CC1,367,-5.3802724
SCCC(=O)N1[C@@](c2c(O)cccc2)SC[C@]1C(=O)O,623,-5.3793607
O=C(OC(CC)C1CCCCC1)N,525,-5.3775015
N(CCC=C1c2c(N(C)Cc3c1cccc3)cccc2)(C)C,175,-5.3765912
Clc1c(Cl)cc(Cl)cc1-c1c(N)nc(N2CCN(C)CC2)nc1,199,-5.3764067
O=C1C(O)=C(C(=O)c2c1cccc2)C1CCCCC1,532,-5.3757105
O=C1C(O)=C(C(=O)c2c1cccc2)C1CCCCC1,532,-5.3739552
Clc1cc(c(OC)cc1)C=1N(CC(=O)N)C(=S)NC(=O)C=1,660,-5.3738322
P(=O)(OC1[C@](OP(=O)(O)O)[C@@](O)C(O)[C@@](O)[C@]1OP(=O)(O)O)(O)O,345,-5.3738184
C(C)[C@@]1(C2=NCCN2)Oc2c(cccc2)C1,554,-5.3727236
OC1(CC)CC2N(CC1)CCc1c2cc(C)cc1,413,-5.3726664
O=C1O[C@@]23C(=C1)C=C[C@@](N1[C@@]2CCCC1)C3,13,-5.3721514
S=C(NC)C1(c2ncccc2)SCCC1,609,-5.3712783
N(CCC(c1ccccc1)C1CCCCC1)(C)C,333,-5.3709412
O=C(OCC1OCCC1)c1cnccc1,303,-5.3703752
O=C(Nc1ccccc1)CC(N(CC)CC)C,133,-5.3690233
Oc1cc([C@]2OC(C(C)(C)C)N(C)C2)ccc1,37,-5.3689914
O=[N+]([O-])c1oc(-c2nc(NNC=O)sc2)cc1,466,-5.3686657
N#C/C=C/1\c2c(C(N3CCN(C)CC3)=Nc3c\1csc3)csc2,632,-5.3675528
S(C(F)(F)F)c1cc(CC(NCC)C)ccc1,580,-5.3661594
FC(F)(F)c1cc(C[C@](NCC)C)ccc1,669,-5.3661075
O=C(/C=C/1\c2c(cccc2)CCc2c\1cccc2)CN(C)C,446,-5.3646588
Fc1c(O)ccc(C(C(C)c2cc(F)c(O)cc2)CC)c1,681,-5.3637495
S(C)c1cc2C(=O)N(/C=C/C(=O)O)C=Nc2cc1,410,-5.3636694
SC1NC(=O)C2(C(=O)N1)C(CC)C(C)CC2C,110,-5.3620543
